✔,slug,title,author,genre,year,start,finish,finish_date,media,w,h,drawing,via,desc,translator,narrator,illustrator
,the-name-of-the-wind-rothfuss,The Name of the Wind,Patrick Rothfuss,Fantasy,2007,2020-08-29,2020-09-30,2020,Audiobook,6.5,13,TRUE,Kevin? Then Nerian,,,Rupert Degas,
,a-brief-history-of-thought-ferry,A Brief History of Thought: A Philosophical Guide to Living,Luc Ferry,Philosophy,1996,2020-08-18,2020-09-01,2020,Book,13,20,TRUE,Re-read,,,,
,,Ulysses,James Joyce,Fiction,1922,2020-08-11,Shelved,,Book,,,,Own it,,,,
,river-flow-whyte,River Flow: New & Selected Poems 1984-2007,David Whyte,Poetry,2007,2020-08-09,2020-08-20,2020,Book,15,23,TRUE,Encountered Whyte in Waking Up app,,,,
,a-midsummer-nights-dream-bloom,A Midsummer Night's Dream,William Shakespeare; Harold Bloom,Classics,2004,2020-08-09,2020-08-09,2020,Book,13,20.5,TRUE,Free Library,,,,
,the-machinery-of-life-goodsell,The Machinery of Life,David S. Goodsell,Science,1992,2020-08-08,2020-08-20,2020,Book,19,24,TRUE,?,https://kottke.org/20/04/dazzling-coronavirus-painting-by-biologist-david-goodsell,,,
,steal-like-an-artist-kleon,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,Art,2012,2020-08-08,2020-08-09,2020,Book,14,14,TRUE,.,,,,
,the-war-of-art-pressfield,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,Steven Pressfield,Self-Help,2003,2020-08-04,2020-08-08,2020,Book,12.5,20,TRUE,.,,,,
,in-the-dream-house-machado,In the Dream House,Carmen Maria Machado,Memoir,2019,2020-08-01,2020-08-12,2020,Book,14,20.5,TRUE,?,,,,
,,"Emergent Strategy: Shaping Change, Changing Worlds",adrienne maree brown,Social Science,2017,2020-07-29,Shelved,,Book,,,,?,,,,
,ballad-blexbolex,Ballad,Blexbolex,Graphic Novel,2013,2020-07-21,2020-07-21,2020,Book,14,18,TRUE,Kleon,,,,
,,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,History,2010,2020-06-22,Shelved,,Audiobook,📱5s,,,Kottke and the zeitgeist,,,,
,mystery-train-marcus,Mystery Train: Images of America in Rock 'n' Roll,Greil Marcus,Music,1975,2020-06-20,2020-07-20,2020,Book,15,23,TRUE,Kleon?,,,,
,the-library-book-orlean,The Library Book,Susan Orlean,History,2018,2020-06-16,2020-06-20,2020,Book,16,23.5,TRUE,Kleon,"The intertwined stories of the Los Angeles Public Library fire of 1986, the history of the U.S. library system (which includes some interesting characters), and Orlean's recollections of growing up with libraries.",,,
